fips,cppi,avg_f1,avg_f2,cnty_name,iwar_x,iwar_y
06001,0.6365786316730719,0.8886148238342888,1.097252372915119,Alameda,11.319293530270402,11.319293530270402
06003,0.582831449295823,0.40110658818481176,0.8277787488500821,Alpine,-1.1142688805978278,-1.1142688805978278
06005,0.34075811790028143,-1.0670950061542972,-1.1134099258838137,Amador,-2.4977618535125656,-2.4977618535125656
06007,0.45173321599373784,-0.2722849073871696,-0.34523323313599263,Butte,-4.854848211524961,-4.854848211524961
06009,0.3412079781758404,-1.1118150777884113,-1.0623539673633111,Calaveras,-2.9138681211315673,-2.9138681211315673
06011,0.3488131036182569,-0.8308526398118451,-1.2362048927706253,Colusa,-4.971522931435933,-4.971522931435933
06013,0.5575823585823213,0.3690620686604227,0.5042120009734576,Contra Costa,10.80744687704793,10.80744687704793
06015,0.38523550801005857,-0.8287018416851711,-0.7253781134261716,Del Norte,-2.383590536934099,-2.383590536934099
06017,0.3731002536855786,-0.9793408149588618,-0.7456535393888206,El Dorado,5.33831518985245,5.33831518985245
06019,0.4330545941398062,-0.262291813845279,-0.6182983107802267,Fresno,-2.072962701343901,-2.072962701343901
06021,0.3344513788084758,-0.9802888293393412,-1.2890409838421215,Glenn,-8.115294238538903,-8.115294238538903
06023,0.5697159816208219,0.3161688426298417,0.7279966510100526,Humboldt,-0.6048168202789072,-0.6048168202789072
06025,0.49200057096162986,0.409934739725311,-0.46032255078431517,Imperial,-13.165641915698172,-13.165641915698172
06027,0.44434707375223176,-0.3743651900493208,-0.347180276982736,Inyo,-3.774906024321515,-3.774906024321515
06029,0.40654706802193746,-0.34473735909399883,-0.9091879903679438,Kern,-12.10978727687507,-12.10978727687507
06031,0.3981747280131647,-0.4179474638419971,-0.9538949415414821,Kings,-12.294173446091554,-12.294173446091554
06033,0.4680029065983131,-0.142962159924914,-0.24541167747205472,Lake,-8.475841888184977,-8.475841888184977
06035,0.2748581887269627,-1.5293063549781525,-1.5793412021101922,Lassen,-12.363829948178608,-12.363829948178608
06037,0.5666175299101697,0.4194059849436549,0.5811205376018598,Los Angeles,4.389854242182496,4.389854242182496
06039,0.38245346461435076,-0.5942332468438865,-0.999029346135015,Madera,-5.940082797241649,-5.940082797241649
06041,0.6255916186580128,0.46914694966423576,1.3619778182361466,Marin,21.747125993949282,21.747125993949282
06043,0.3782144204015851,-0.8306814131947924,-0.8222843945325288,Mariposa,-4.503585298241264,-4.503585298241264
06045,0.5602148421735997,0.32917294843550016,0.5811773405731349,Mendocino,-0.8924975268276016,-0.8924975268276016
06047,0.46290374821017755,0.01936277751393467,-0.47955378241443514,Merced,-9.2455654990101,-9.2455654990101
06049,0.3003474783254317,-1.4126905372761822,-1.3369627620737639,Modoc,-11.108094945456166,-11.108094945456166
06051,0.5090611542057507,-0.15743125992106288,0.3473267802058724,Mono,3.9511552968236856,3.9511552968236856
06053,0.5567064246190233,0.4414712507631364,0.41946605829657324,Monterey,2.54634375144525,2.54634375144525
06055,0.532114947868885,0.09174629386237898,0.42284166291341063,Napa,12.75455721181324,12.75455721181324
06057,0.4787452329413979,-0.34394729246964273,0.10686968704577016,Nevada,3.5117520487984644,3.5117520487984644
06059,0.4541260032208188,-0.3401079509303302,-0.24370988299176277,Orange,-0.45744154694040995,-0.45744154694040995
06061,0.3844486586115685,-0.9131762958343042,-0.6519857419954125,Placer,5.709861258276661,5.709861258276661
06063,0.3781217119151139,-0.9451741666087727,-0.7090973587282221,Plumas,-1.1203444344067293,-1.1203444344067293
06065,0.45917697405338564,-0.14224843104792972,-0.3704309147695528,Riverside,-5.536211288929419,-5.536211288929419
06067,0.5150785685755872,0.17703152757697316,0.09761398924495301,Sacramento,2.311153340806917,2.311153340806917
06069,0.4756051505633276,-0.12067183489506661,-0.16063107301116641,San Benito,3.9247819128081702,3.9247819128081702
06071,0.45381540332515535,-0.12580374261790572,-0.462388618046746,San Bernardino,-5.217297345281044,-5.217297345281044
06073,0.5047789716864902,-0.09666969241271062,0.2262544327888243,San Diego,1.823789999478303,1.823789999478303
06075,0.7004892851625071,1.2205510775438033,1.6654415433521406,San Francisco,9.568674855905302,9.568674855905302
06077,0.4617036080716842,-0.060333619558397444,-0.4167603051561697,San Joaquin,-5.900979938341968,-5.900979938341968
06079,0.4586187475862539,-0.4204857468163077,-0.10005572852203581,San Luis Obispo,7.088025105038391,7.088025105038391
06081,0.5842120073572619,0.3751002468243567,0.873229038015217,San Mateo,16.527299520787178,16.527299520787178
06083,0.5409110556508054,0.14895171173003785,0.4895216978732453,Santa Barbara,4.260963662108526,4.260963662108526
06085,0.5543799745622284,0.30169387193457897,0.5264774313061715,Santa Clara,12.979165180289572,12.979165180289572
06087,0.6120928273735161,0.48073544766531917,1.160270700458601,Santa Cruz,15.396908247175286,15.396908247175286
06089,0.3344045711184608,-1.0407942120338305,-1.2291948463521134,Shasta,-9.518120242257549,-9.518120242257549
06091,0.367492738060518,-1.0591627732381297,-0.7448085138246952,Sierra,-5.678560141104056,-5.678560141104056
06093,0.3973611322404624,-0.6961669271406632,-0.6871342601516652,Siskiyou,-8.184306919126595,-8.184306919126595
06095,0.522597202962602,0.25172705660363004,0.12881182223396115,Solano,3.5735349194581985,3.5735349194581985
06097,0.5808713157620156,0.3316006429141194,0.8696779348064778,Sonoma,13.460153432427072,13.460153432427072
06099,0.43128972857474934,-0.28015733388848885,-0.6252893722077566,Stanislaus,-8.544736526648157,-8.544736526648157
06101,0.3618260499695398,-0.8296965894403727,-1.0540850225511598,Sutter,-11.608236498930852,-11.608236498930852
06103,0.3167310662132872,-1.1305933663198,-1.3883114867005242,Tehama,-10.380773985285002,-10.380773985285002
06105,0.420789690334994,-0.6326061096326958,-0.4207244132935079,Trinity,-4.684659863383705,-4.684659863383705
06107,0.39770389498897263,-0.42341454918835586,-0.9550591258264545,Tulare,-9.786740689182503,-9.786740689182503
06109,0.3580118027122987,-0.9986140065906619,-0.9388879281134443,Tuolumne,-0.9849182660017327,-0.9849182660017327
06111,0.4881801847136774,-0.11154351296934228,0.007348916905232539,Ventura,3.6631690051256025,3.6631690051256025
06113,0.5615550058742367,0.29442444741995644,0.6348008702982679,Yolo,9.504266282499335,9.504266282499335
06115,0.3701212481252684,-0.8451693316439226,-0.9217816996754999,Yuba,-8.145147856145366,-8.145147856145366
